Area (cm2),PCE (%),Stability,Solvent1,Solvent2,Solvent3,Solvent4,ratio1,ratio2,ratio3,ratio4
0.09,11.95,,DMF,DMSO,,,0.6721311475409836,0.3278688524590164,0.0,0.0
0.08,17.759999999999998,,DMF,DMSO,,,0.8947368421052632,0.1052631578947368,0.0,0.0
0.1,11.752,,DMF,DMSO,,,0.85,0.15,0.0,0.0
0.05,19.155,,DMF,DMSO,,,0.8979591836734694,0.1020408163265306,0.0,0.0
,18.51111111111111,,DMF,DMSO,,,0.89,0.11,0.0,0.0
0.085,14.55,,DMF,DMSO,,,0.825,0.175,0.0,0.0
0.06,16.0725,,DMF,DMSO,,,0.85,0.15,0.0,0.0
0.2744891304347826,18.128695652173917,,DMF,DMSO,,,0.8888888888888888,0.1111111111111111,0.0,0.0
0.0968421052631579,17.478421052631578,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.1,18.842,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.1,10.45,,DMF,DMSO,,,0.9056603773584906,0.0943396226415094,0.0,0.0
0.1,15.87,,DMF,DMSO,,,0.8962264150943396,0.1037735849056603,0.0,0.0
0.1,16.42,,DMF,DMSO,,,0.8878504672897196,0.1121495327102803,0.0,0.0
0.1,16.13,,DMF,DMSO,,,0.8796296296296297,0.1203703703703703,0.0,0.0
0.0685,15.66,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.077,15.68,,DMF,DMSO,,,0.97,0.03,0.0,0.0
0.077,15.28,,DMF,DMSO,,,0.98,0.02,0.0,0.0
0.077,14.33,,DMF,DMSO,,,0.99,0.01,0.0,0.0
0.1252972860635696,15.354364508393289,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.1,18.07894736842105,,DMF,DMSO,,,0.8910891089108911,0.1089108910891089,0.0,0.0
0.12,17.75,,DMF,DMSO,,,0.8181818181818182,0.1818181818181818,0.0,0.0
0.12,19.4,,DMF,DMSO,,,0.75,0.25,0.0,0.0
0.11,15.035,,DMF,DMSO,,,0.6923076923076923,0.3076923076923077,0.0,0.0
0.12,18.9,,DMF,DMSO,,,0.6428571428571429,0.3571428571428571,0.0,0.0
0.12,18.8,,DMF,DMSO,,,0.6,0.4,0.0,0.0
0.12,18.8,,DMF,DMSO,,,0.5625,0.4375,0.0,0.0
0.08,20.12125,,DMF,DMSO,,,0.885057471264368,0.1149425287356322,0.0,0.0
,16.805,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.16,22.16,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.21,17.1,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.09,16.625,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.195,13.47375,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.09,19.3175,,DMF,DMSO,,,1.0,0.0,0.0,0.0
0.0699294117647058,15.108809523809525,,DMF,DMSO,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.068125,15.02625,,DMF,DMSO,,,0.85,0.15,0.0,0.0
0.09,15.4825,,DMF,DMSO,,,0.9473684210526316,0.0526315789473684,0.0,0.0
0.0885714285714285,17.13357142857143,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.044,19.31409090909091,,DMF,DMSO,,,0.8620689655172413,0.1379310344827586,0.0,0.0
0.16,18.325,,DMF,DMSO,,,0.975,0.025,0.0,0.0
0.09,17.04,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.1521222222222222,19.30268907563025,,DMF,DMSO,,,0.8,0.2,0.0,0.0
,20.630000000000003,,DMF,DMSO,,,0.8333333333333334,0.1666666666666666,0.0,0.0
0.048,15.466666666666669,,DMF,DMSO,,,0.625,0.375,0.0,0.0
0.044,19.24,,DMF,DMSO,,,0.8620689655172413,0.1379310344827586,0.0,0.0
0.09408,17.68,,DMF,DMSO,,,0.8701298701298701,0.1298701298701298,0.0,0.0
0.044,20.045,,DMF,DMSO,,,0.8571428571428571,0.1428571428571428,0.0,0.0
0.07,14.068333333333332,,DMF,DMSO,,,0.6,0.4,0.0,0.0
0.075,17.144375,,DMF,DMSO,,,0.7,0.3,0.0,0.0
0.085,13.866666666666667,,DMF,DMSO,,,0.825,0.175,0.0,0.0
0.065,15.2,,DMF,DMSO,,,0.85,0.15,0.0,0.0
0.098695652173913,21.45434782608696,,DMF,DMSO,,,0.8888888888888888,0.1111111111111111,0.0,0.0
0.065,12.95,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.1421866666666666,17.205333333333332,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.065,17.02,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.1,21.191666666666663,,DMF,DMSO,,,0.94,0.06,0.0,0.0
0.09875,16.07375,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.1038226356589147,17.682137404580153,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.16,15.45,,DMF,DMSO,,,0.9,0.1,0.0,0.0
,18.61833333333333,,DMF,DMSO,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.044,20.55666666666667,,DMF,DMSO,,,0.8620689655172413,0.1379310344827586,0.0,0.0
,17.55,,DMF,DMSO,,,0.7,0.3,0.0,0.0
1.02,18.02,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.1,13.33,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.1,17.97,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.0566666666666666,12.643333333333333,,DMF,DMSO,,,0.8,0.2,0.0,0.0
